PLUGIN | LOC | FILES | DESC
adv_crosshair                |    543 |    1 | Creates and editable crosshair.
advanced_event_ents          |   1252 |    4 | Adds advanced event entities for more complex events, uses custom scripts to run code on use.
advert                       |     31 |    1 | Adds the advert chat type.
ambient                      |    510 |    1 | Adds ambient sounds to the world, works off teleporter setting your area.
ambush                       |    108 |    2 | Adds ambushes that lets factions RDM eachother without a raid/hostilities.
animdoors                    |    341 |    9 | Adds animated doors to the game. Lockable and can be opened with a keycard.
antiafk                      |     83 |    2 | Anti Afk system that character kicks players after a set time of no input.
areas                        |   1269 |    5 | Trigger based Area System.
armorv2                      |  44634 |  688 | Adds equippable armors, uses NV animations.
attributes                   |    817 |   19 | Adds attributes for characters.
audit                        |    297 |    3 | Adds an audit system for Super Admins, can view char money and inventory.
autocleanup                  |    133 |    1 | Cleans up shit automatically.
bank                         |    119 |    2 | Add a Bank system, accessed through the menu.
blackmarket                  |   1828 |    4 | Adds a blackmarket system for buying and selling items.
bobbleheads                  |    239 |    9 | Adds equippable bobbleheads, SPECIAL bonuses and free perks.
bountyboard                  |    175 |    3 | Spawnable board that permanently consumes a configurable item and tracks how many each faction has donated.
branding                     |    215 |    3 | Adds branding, allows players to brand other players.
buffs                        |     93 |    2 | Adds buffs to players, which can be applied through items or other means.
capstash                     |     77 |    2 | Places down a stash of caps at a random position.
capturepoints                |    445 |    4 | Adds Capture Points, points can be captured by factions and will give a bonus.
caravans                     |   1063 |    6 | Periodically spawns caravans that players must defend to earn rewards.
classnameviewer              |     68 |    1 | 
co_house_ammobag             |    475 |    2 | Adds a bag that can be used to store ammunition for your weapons.
co_house_scratchcard         |     39 |    4 | Adds a scratchcard item that can be used to win prizes.
co_shi_bank                  |   2196 |    5 | Adds a banking system that allows shi to create and close accounts. Players can withdraw and deposit caps from their accounts for lowered transaction fees. Shi get a cut of the fees.
crusifix                     |    170 |    2 | Adds a Legion Cursifix, a vehicle too torture prisoners.
damageview                   |     84 |    2 | Shows the weapon damage when switing weapons.
dismemberment                |    423 |    4 | Hit Group multipliers for weapons and head removals.
doorbuster                   |    255 |    3 | Adds a Breaching Charge that can be used to break down (Unlock) doors.
drugs_advanced               |   3005 |   26 | Adds advanced drugs, based off SS13's chemistry.
drugs_simple                 |   1402 |   33 | Adds simple drugs.
eventstaff                   |    170 |    2 | Temporary event armor and budgeted event item spawning.
factionmanagement            |   1374 |    3 | Adds faction NCOs, Officers and Lead. Used to promote, demote, rename, kick and invite members.
factionradio                 |    147 |    2 | Adds faction radio commands.
factionshop                  |   2076 |   11 | Adds a faction shop to the F1 menu, allowing players to buy items from their faction.
factionstorage               |    641 |    5 | Adds placeable faction storages that factions can use to store items.
farming                      |    681 |   24 | Adds a farming system.
fearrp                       |     41 |    2 | Implements FearRP, bind to inflict fear, resist and fear power.
fishing                      |   1499 |   41 | Cast a line into open water, reel it in through a timing minigame, and catch a fish.
